Type,Title,Correct,Choice 1,Choice 2,Choice 3,Choice 4
MCQ,"En el diagrama del punto de equilibrio, ¿cómo se define el ""punto muerto""?",1,El nivel de ventas donde los ingresos totales igualan a la suma de los costes fijos y variables,El momento en que los ingresos acumulados permiten cubrir exclusivamente la inversión inicial,El nivel de actividad donde se alcanza el margen de contribución máximo para la organización,El punto donde los costes variables unitarios se igualan con el precio de venta del producto
MCQ,"En las técnicas avanzadas de planificación, ¿qué efecto tiene añadir recursos humanos a un proyecto según el supuesto de recursos ilimitados?",1,El proyecto reduce su duración,El proyecto reduce su coste total,El proyecto aumenta su duración,El proyecto mantiene su duración
MCQ,"Según el texto, ¿cuál es el objetivo fundamental y la definición clave de la función de un Jefe de Proyecto?",4,Incrementar el presupuesto inicial mediante la dilatación de los plazos,Liderar la ejecución técnica de todas las tareas complejas de desarrollo,Priorizar todas las solicitudes del cliente sin evaluar el impacto económico,Satisfacer al cliente logrando rentabilidad y asegurar que los objetivos se cumplan
MCQ,¿Cómo se define el Valor Actual Neto (VAN) de un proyecto de inversión?,1,La diferencia actualizada entre el valor de los flujos de cobros y el de los pagos previstos,La tasa de descuento mínima que iguala los desembolsos iniciales con los ingresos futuros,La suma aritmética simple de todos los flujos de caja netos generados durante la vida útil,El coste total de la inversión inicial incrementado por el tipo de interés bancario vigente
MCQ,¿Cuál es la diferencia fundamental en el análisis de viabilidad técnica y comercial entre un proyecto interno y uno externo?,4,El externo depende de estudios de mercado independientes mientras que el interno responde a demandas directas de terceros,El externo prioriza la alineación con la estrategia interna mientras que el interno se limita a cumplir especificaciones,El interno se centra en la rentabilidad del cliente mientras que el externo busca mejorar la eficiencia operativa propia,El interno requiere análisis de mercado propios mientras que el externo se basa en los requisitos de un pliego
MCQ,¿Cuál es el objetivo principal del método CANVAS?,4,Establecer la ruta crítica de las tareas para optimizar los procesos de ingeniería y logística,Identificar las debilidades y amenazas del entorno para realizar un diagnóstico situacional completo,Calcular los costes de aceleración de las actividades para reducir los tiempos de fabricación,Definir un modelo de negocio claro mediante la identificación de elementos que generan valor e ingresos
MCQ,"¿En qué consiste la estimación de costes por el método de ""Jerarquía ascendente"" (bottom-up)?",3,El coste final se obtiene aplicando factores de ajuste a los datos históricos de proyectos previos similares,El presupuesto se define según la capacidad financiera del cliente y se adaptan las tareas a dicho límite,La suma total se calcula agregando las estimaciones individuales de los componentes o paquetes de trabajo,La cifra global se establece primero a nivel de sistema y luego se reparte entre los distintos niveles
MCQ,"¿Qué cuaderno de especificaciones detalla el cronograma, los hitos, los costes y el calendario de reuniones?",1,Cuaderno de especificaciones de gestión,Cuaderno de especificaciones de validación,Cuaderno de especificaciones funcionales,Cuaderno de especificaciones técnicas
MCQ,"En el método PERT, ¿cómo se define el tiempo estimado ($t_e$)?",3,Es el tiempo máximo calculado para garantizar la finalización de la actividad con éxito,Es el tiempo obtenido como la media aritmética del tiempo optimista y el pesimista,Es el tiempo en el que la probabilidad de terminar cierta tarea es del 50%,Es el tiempo resultante de promediar linealmente los tres valores de tiempo estándar
MCQ,"¿En qué consiste el estilo de ""Liderazgo orientado al sentimiento de culpabilidad"" descrito en la dirección de proyectos?",2,Ejerce un control estricto sobre las tareas mediante la imposición de castigos y la vigilancia constante de los horarios de entrega,Intenta que el equipo asuma una carga excesiva de trabajo apelando a su falta de compromiso ante las necesidades del proyecto,Delega la toma de decisiones críticas en los subordinados para evitar asumir la responsabilidad directa sobre los fallos cometidos,Prioriza el bienestar emocional de los empleados estableciendo vínculos afectivos que eviten cualquier tipo de conflicto interno
